Ticket_ID,inferred_severity,severity_delta,mismatch_label,mismatch_type,score_rule,score_embedding,score_resolution_time,fused_score
TKT-100000,Low,-2,1,False Alarm,0.15,0.12187548,1.0266,0.3154764212667942
TKT-100001,High,0,0,None,2.0,1.8930382,1.07535,1.777633363008499
TKT-100002,Medium,-1,0,None,0.2,0.04953258,2.4705,0.6014364032074809
TKT-100003,High,2,1,Hidden Crisis,2.0,1.998326,1.07535,1.8144840896129608
TKT-100004,Medium,0,0,None,1.6,1.0733339,1.09965,1.315596866607666
TKT-100005,Low,-1,0,None,0.15,0.12187548,1.6527,0.44069641008973126
TKT-100006,Low,-1,0,None,0.2,0.04953258,0.2646,0.1602564064785838
TKT-100007,Medium,0,0,None,1.0,1.0042081,1.49535,1.1005428314208985
TKT-100008,High,0,0,None,2.0,1.9488056,0.63615,1.7093119502067566
TKT-100009,Low,0,0,None,0.1,0.81794167,0.2433,0.3799395848065614
TKT-100010,Low,0,0,None,0.15,0.12187548,0.35385,0.18092642202973366
TKT-100011,Medium,1,0,None,0.4,2.0941286,0.6504,1.0430250123143197
TKT-100012,High,-1,0,None,2.0,1.29454,2.28585,1.8102590262889862
TKT-100013,Medium,0,0,None,2.1,0.15748627,1.7784,1.3558001421391963
TKT-100014,Medium,1,0,None,1.1,0.63175684,2.616,1.239314892888069
TKT-100015,Medium,1,0,None,0.1,0.81794167,0.90345,0.5119695860892535
TKT-100016,Medium,1,0,None,0.2,0.57010436,2.3439,0.758316520601511
TKT-100017,Medium,1,0,None,0.3,0.19682762,2.616,0.727089659869671
TKT-100018,Low,0,0,None,0.3,0.036962382,1.61205,0.47034685052931313
TKT-100019,Medium,0,0,None,1.2,1.0600208,2.01165,1.3133373200893403
TKT-100020,Medium,0,0,None,0.4,2.0941286,2.0634,1.3256250217556953
TKT-100021,High,1,0,None,1.3,1.4184979,2.83995,1.6494642674922946
TKT-100022,Low,0,0,None,0.2,0.6429595,0.0,0.31503581777215
TKT-100023,Medium,1,0,None,1.1,1.0012358,1.6527,1.1759725451469423
TKT-100024,Low,0,0,None,0.2,0.57010436,0.7893,0.447396532446146
TKT-100025,Low,-1,0,None,0.2,0.4857986,0.0,0.2600295104086399
TKT-100026,Medium,0,0,None,1.0,1.0042081,0.7731,0.9560928344726562
TKT-100027,Low,0,0,None,0.3,0.09956941,1.18215,0.4062793001532555
TKT-100028,Medium,0,0,None,0.3,0.09956941,2.17515,0.6048792824149132
TKT-100029,Medium,1,0,None,0.4,2.0941286,0.0,0.9129450157284736
TKT-100030,Medium,0,0,None,0.1,0.81794167,2.4705,0.8253795821219683
TKT-100031,Medium,1,0,None,0.2,0.57010436,1.21245,0.5320265330374241
TKT-100032,High,1,0,None,2.0,1.9488056,1.00575,1.7832319378852846
TKT-100033,Medium,1,0,None,0.05,0.15748627,2.11995,0.5016102077439427
TKT-100034,High,2,1,Hidden Crisis,2.0,1.8930382,0.0,1.5625633537769317
TKT-100035,Medium,0,0,None,0.3,1.3503485,1.82055,0.9717319637537003
TKT-100036,Critical,1,0,None,2.9,2.9681032,2.17515,2.7788661360740665
TKT-100037,Low,0,0,None,0.3,0.03737933,1.69665,0.48741277586668735
TKT-100038,Low,0,0,None,0.2,0.4857986,0.4623,0.35248951092362407
TKT-100039,Critical,0,0,None,2.9,2.9681032,2.11995,2.7678261637687687
TKT-100040,Medium,-1,0,None,1.2,1.0980611,2.0634,1.337001407146454
TKT-100041,Medium,0,0,None,0.2,0.6429595,1.2999,0.5750158287584781
TKT-100042,Medium,0,0,None,1.2,1.0980611,1.7382,1.2719613909721375
TKT-100043,High,1,0,None,2.0,1.998326,0.27015,1.653444081544876
TKT-100044,Low,0,0,None,0.3,0.036962382,1.27095,0.402126831188798
TKT-100045,Critical,0,0,None,2.9,2.9681032,2.68545,2.880926167964936
TKT-100046,Low,-1,0,None,0.2,0.6429595,0.2226,0.3595558173954487
TKT-100047,Medium,0,0,None,0.3,0.09956941,2.76105,0.7220592960715294
TKT-100048,Medium,0,0,None,1.0,1.0042081,1.1277,1.027012825012207
TKT-100049,Medium,0,0,None,0.2,0.6429595,1.82055,0.679145810753107
TKT-100050,Medium,-1,0,None,0.2,0.57010436,1.4595,0.5814365185797215
TKT-100051,Medium,1,0,None,1.2,1.0600208,1.82055,1.2751172959804535
TKT-100052,Low,0,0,None,0.05,0.15748627,0.0,0.07762019652873277
TKT-100053,High,0,0,None,2.0,1.998326,2.76105,2.1516240775585174
TKT-100054,Medium,0,0,None,0.1,0.81794167,2.3439,0.8000595767050982
TKT-100055,Medium,1,0,None,1.1,1.0012358,2.28585,1.3026025652885438
TKT-100056,Medium,-2,1,False Alarm,0.3,0.09956941,1.6527,0.500389288365841
TKT-100057,Critical,1,0,None,3.0,2.996188,1.69665,2.7379957795143124
TKT-100058,Medium,0,0,None,1.1,1.0012358,2.11995,1.2694225668907166
TKT-100059,Medium,0,0,None,1.6,1.0733339,1.569,1.4094668626785278
TKT-100060,High,1,0,None,2.0,1.8930382,0.2433,1.611223354935646
TKT-100061,High,-1,0,None,2.1,1.9981121,1.86615,2.0175691902637483
TKT-100062,High,0,0,None,2.0,1.8930382,2.83995,2.1305533707141877
TKT-100063,Medium,1,0,None,1.0,1.0042081,0.696,0.9406728267669678
TKT-100064,Medium,1,0,None,0.2,0.6429595,2.17515,0.7500658012926578
TKT-100065,Critical,1,0,None,3.0,2.996188,2.68545,2.9357557892799377
TKT-100066,Medium,0,0,None,1.2,1.0600208,0.0,0.9110073029994965
TKT-100067,Medium,1,0,None,1.1,0.63175684,2.17515,1.151144888997078
TKT-100068,Medium,1,0,None,1.2,1.0980611,1.5297,1.2302614092826845
TKT-100069,Low,0,0,None,0.3,0.038576685,1.6527,0.4790418345481158
TKT-100070,High,1,0,None,2.0,1.9488056,0.696,1.7212819457054138
TKT-100071,High,1,0,None,2.0,1.8930382,0.0,1.5625633537769317
TKT-100072,Low,0,0,None,0.15,0.12187548,0.0,0.11015642061829567
TKT-100073,Medium,-1,0,None,1.2,1.0600208,1.61205,1.2334173142910005
TKT-100074,High,-1,0,None,2.0,1.9488056,1.82055,1.946191942691803
TKT-100075,Low,-2,1,False Alarm,0.3,0.09956941,0.52395,0.27463929504156115
TKT-100076,Medium,-1,0,None,0.3,0.09956941,1.96125,0.5620992884039879
TKT-100077,Medium,-1,0,None,0.3,0.09956941,2.4705,0.6639492973685265
TKT-100078,Low,-2,1,False Alarm,0.3,0.038576685,0.84825,0.3181518394500017
TKT-100079,Medium,1,0,None,1.0,1.0042081,2.4705,1.2955728292465212
TKT-100080,Medium,0,0,None,0.3,0.19682762,2.5431,0.7125096961855888
TKT-100081,High,-1,0,None,2.8,2.159486,2.17515,2.450850081443787
TKT-100082,Low,0,0,None,0.3,0.09956941,0.28155,0.22615929692983627
TKT-100083,High,0,0,None,2.1,1.9981121,2.916,2.2275391638278963
TKT-100084,Low,-1,0,None,0.15,0.12187548,0.84825,0.2798064149916172
TKT-100085,Medium,1,0,None,1.0,1.0042081,0.6504,0.9315528273582458
TKT-100086,Low,0,0,None,0.05,0.15748627,0.6225,0.20212019700556993
TKT-100087,Medium,0,0,None,0.1,0.81794167,1.09965,0.5512095887213946
TKT-100088,Medium,0,0,None,0.15,0.12187548,2.68545,0.6472464360296727
TKT-100089,High,1,0,None,2.0,1.9488056,0.5826,1.6986019492149353
TKT-100090,Medium,1,0,None,1.0,1.0042081,0.4722,0.8959128320217133
TKT-100091,Medium,0,0,None,1.2,1.0980611,1.1541,1.1551413893699647
TKT-100092,Medium,0,0,None,1.1,0.63175684,1.4595,1.0080148965120315
TKT-100093,High,2,1,Hidden Crisis,2.0,1.2823856,1.21245,1.5913249611854552
TKT-100094,Low,0,0,None,0.3,0.09956941,1.27095,0.42403929084539416
TKT-100095,Medium,1,0,None,0.3,0.19682762,2.916,0.7870896503329277
TKT-100096,Critical,0,0,None,2.9,2.9681032,2.68545,2.880926167964936
TKT-100097,Medium,0,0,None,0.2,0.4857986,1.4295,0.5459295071661472
TKT-100098,Low,0,0,None,0.2,0.57010436,0.9231,0.4741565264761448
TKT-100099,Low,0,0,None,0.2,0.6429595,0.6225,0.4395358182489872
TKT-100100,High,0,0,None,2.0,1.2823856,2.76105,1.901044952869415
TKT-100101,High,0,0,None,2.0,1.998326,2.01165,2.0017440974712373
